Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,85.160004,85.190002,83.550003,83.900002,83.120003,4155000
2021-11-09,83.389999,83.940002,82.959999,83.040001,83.040001,3267300
2021-11-10,83.550003,84.320000,83.480003,84.180000,84.180000,4234900
2021-11-11,84.180000,84.180000,82.120003,82.610001,82.610001,2882700
2021-11-12,82.440002,82.580002,81.900002,82.019997,82.019997,2053900
2021-11-15,82.250000,82.900002,81.809998,82.879997,82.879997,2099100
2021-11-16,82.900002,83.180000,82.400002,82.559998,82.559998,1881200
2021-11-17,82.410004,83.309998,82.120003,83.239998,83.239998,2146900
2021-11-18,83.230003,83.360001,82.489998,82.820000,82.820000,2123000
2021-11-19,83.019997,83.680000,82.629997,83.379997,83.379997,2477700
2021-11-22,83.309998,85.059998,82.959999,84.300003,84.300003,3014900
2021-11-23,84.449997,84.870003,83.589996,84.309998,84.309998,2166000
2021-11-24,84.760002,84.760002,83.699997,83.820000,83.820000,2539200
2021-11-26,83.519997,83.949997,82.290001,82.550003,82.550003,1636800
2021-11-29,82.709999,83.760002,82.190002,83.309998,83.309998,2899200
2021-11-30,83.209999,83.209999,80.680000,81.050003,81.050003,4122300
